r,J_LSP,J_B,ratio_running
1.0233674465712859,0.0020807590723660625,1.2984883965191512e-12,1602447182.3883362
1.0267008910194007,0.002095833558444222,1.3238840772186042e-12,1583094467.6420872
1.0300343354675157,0.002110980792813661,1.3497875834947096e-12,1563935554.4730678
1.0333677799156307,0.0021261932524060637,1.3761949959188256e-12,1544979642.2101483
1.0367012243637455,0.0021414796784600706,1.4031322380683736e-12,1526213724.09499
1.0400346688118605,0.0021568329675806623,1.4305961361475635e-12,1507646297.2902849
1.0433681132599755,0.0021722574088470373,1.4586050506066168e-12,1489270456.004263
1.0467015577080903,0.0021877523772697964,1.4871682815529087e-12,1471085958.7358427
1.0500350021562053,0.002203315677461061,1.516292090048394e-12,1453094487.481459
1.0533684466043203,0.002218953182058597,1.5459992577079043e-12,1435287352.820863
1.056701891052435,0.002234657373254513,1.57628543718088e-12,1417673043.564434
1.06003533550055,0.0022504370966301536,1.6071804803685905e-12,1400239191.6270902
1.063368779948665,0.002266285117879402,1.638680605075227e-12,1382993800.5370872
1.06670222439678,0.002282205849785207,1.6708071032882014e-12,1365930181.463649
1.0700356688448949,0.002298198575885251,1.7035704805712188e-12,1349048132.7867627
1.0733691132930099,0.0023142611846889115,1.7369781721446895e-12,1332349031.094292
1.0767025577411249,0.00233039949757375,1.7710561329700237e-12,1315824752.3559399
1.0800360021892397,0.0023466060010776334,1.8057995334593784e-12,1299483114.0432458
1.0833694466373547,0.0023628896475477623,1.841242767428246e-12,1283312385.171308
1.0867028910854697,0.002379243069206937,1.877381321781009e-12,1267320091.8766086
1.0900363355335845,0.0023956708046863834,1.9142398953466705e-12,1251499778.324558
1.0933697799816995,0.0024121720447146666,1.951830353112609e-12,1235851282.2940502
1.0967032244298145,0.0024287447624906054,1.9901615118059944e-12,1220375707.2392652
1.1000366688779293,0.0024453947282843834,2.029262953929065e-12,1205065476.3837297
1.1033701133260443,0.0024621144318743467,2.0691293065382748e-12,1189927774.9796844
1.1067035577741593,0.0024789129349622077,2.109800215578407e-12,1174951503.3026989
1.110037002222274,0.0024957827338884936,2.1512702908147455e-12,1160143727.4268644
1.113370446670389,0.002512728494865844,2.1935681906983703e-12,1145498236.8548398
1.116703891118504,0.0025297493147868394,2.2367073124161027e-12,1131014907.826358
1.1200373355666189,0.002546843252238749,2.2806980977590178e-12,1116694600.982586
1.123370780014734,0.0025640160264110284,2.3255742760009417e-12,1102530266.5542514
1.126704224462849,0.0025812601296956723,2.3713298620921075e-12,1088528496.587292
1.1300376689109637,0.002598584735454141,2.418010576214485e-12,1074678812.8289967
1.1333711133590787,0.0026159822011108443,2.4656099765629695e-12,1060987839.1056366
1.1367045578071937,0.0026334573232430405,2.5141613241148887e-12,1047449619.8728019
1.1400380022553085,0.0026510091032294746,2.5636797419516624e-12,1034064068.0849359
1.1433714467034235,0.002668635686084462,2.6141775829639583e-12,1020831830.046817
1.1467048911515385,0.0026863427398046928,2.6656933167243177e-12,1007746361.1251986
1.1500383355996533,0.002704122758412173,2.7182202687878347e-12,994813698.3093176
1.1533717800477683,0.002721985029650519,2.7718111852414455e-12,982023971.9587587
1.1567052244958833,0.0027399217693491414,2.826458364839151e-12,969383382.197836
1.1600386689439983,0.0027579379063904625,2.8822004187839294e-12,956886234.7033118
1.163372113392113,0.002776032345621295,2.9390544130328047e-12,944532477.2863638
1.1667055578402281,0.002794203318985622,2.9970349473821626e-12,932322568.1523304
1.1700390022883431,0.0028124564436370035,3.0561859101213434e-12,920250444.9493183
1.173372446736458,0.0028307842140391096,3.1164998505651067e-12,908321626.7524643
1.176705891184573,0.0028491960351460883,3.178037642395168e-12,896526836.9190102
1.180039335632688,0.0028676839781941878,3.240790077401657e-12,884871870.6561173
1.1833727800808027,0.0028862531069932243,3.304801986605685e-12,873351298.7135588
1.1867062245289177,0.0029049022279191935,3.370092621617527e-12,861965101.2810863
1.1900396689770327,0.0029236296612618236,3.4366792233279673e-12,850713572.979522
1.1933731134251475,0.002942440973012273,3.504611874097251e-12,839591109.8629754
